nombre,png,log_fhb,i5007,i6563,i4686,i5007_es_4959
Abell 1,119.4+06.5,-13.6,305.0,495.0,,
Abell 12,198.6-06.3,-11.58,1218.0,509.0,,
Abell 13,204.0-08.5,-12.62,,,,
Abell 14,197.8-03.3,,,,,
Abell 15,233.5-16.3,-12.47,264.0,572.0,153.0,
Abell 16,153.7+22.8,-12.31,,,,
Abell 18,216.0-00.2,-12.8,,,,
Abell 19,200.7+08.4,-12.9,,,,
Abell 2,122.1-04.9,-12.37,1057.0,530.0,39.0,
Abell 20,214.9+07.8,-12.04,678.0,430.0,88.0,
Abell 21,205.1+14.2,-10.4,147.0,250.0,,
Abell 23,249.3-05.4,,2400.0,1800.0,,
Abell 24,217.1+14.7,-11.35,105.0,239.0,,
Abell 26,250.3+00.1,,,,,
Abell 28,158.8+37.1,-11.82,,,,
Abell 29,244.5+12.5,,,,,
Abell 3,131.5+02.6,-12.61,,,,
Abell 30,208.5+33.2,-12.19,3000.0,200.0,,
Abell 31,219.1+31.2,-10.54,,,,
Abell 33,238.0+34.8,-11.3,353.0,280.0,,
Abell 34,248.7+29.5,-11.84,,,,
Abell 35,303.6+40.0,-11.3,209.0,498.0,,
Abell 36,318.4+41.4,-10.86,,,,
Abell 39,047.0+42.4,-11.79,,,,
Abell 4,144.3-15.5,-12.49,1054.0,448.0,43.0,
Abell 40,359.1+15.1,-13.4,509.0,612.0,,
Abell 41,009.6+10.5,-12.24,234.0,414.0,,
Abell 42,016.0+13.5,,,,,
Abell 43,036.0+17.6,-12.25,611.0,333.0,,
Abell 44,015.6-03.0,-13.0,1404.0,1165.0,,
Abell 45,020.2-00.6,,,,,
Abell 46,055.4+16.0,-11.85,588.0,631.0,,
Abell 47,030.8+03.4,,,,,
Abell 48,029.0+00.4,,,,,
Abell 49,027.3-03.4,-13.1,1205.0,576.0,,
Abell 5,141.7-07.8,-12.9,,,,
Abell 50,078.5+18.7,-11.9,981.0,250.0,47.0,
Abell 51,017.6-10.2,-11.8,365.0,278.0,63.0,
Abell 52,050.4+05.2,,,,,
Abell 53,040.3-00.4,-12.61,,,,
Abell 54,055.3+06.6,-13.05,525.0,410.0,60.0,
Abell 55,033.0-05.3,-11.9,1191.0,680.0,,
Abell 56,037.9-03.4,,,,,
Abell 57,058.6+06.1,-12.3,1011.0,361.0,,
Abell 58,037.5-05.1,,,,,
Abell 59,053.3+03.0,-12.5,,,,
Abell 6,136.1+04.9,-12.43,,,,
Abell 60,025.0-11.6,-13.0,969.0,454.0,,
Abell 61,077.6+14.7,,950.0,560.0,,
Abell 62,047.1-04.2,-12.01,,,,
Abell 63,053.8-03.0,-12.8,242.0,705.0,,
Abell 65,017.3-21.9,-11.63,318.0,231.0,,
Abell 66,019.8-23.7,,,,,
Abell 67,043.5-13.4,-12.0,1020.0,255.0,,
Abell 68,060.0-04.3,,,,,
